publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 8) 									http://hdl.handle.net/2333.1/xpnvx5gs	Hermann Junker	xpnvx5gs		fulltext							Ancient World Digital Library	global.5644.217	727878969h		727878969	monograph			8					free
Grab- und Denksteine des Mittleren Reichs im Museum von Kairo (t.1) 									http://hdl.handle.net/2333.1/dv41p34q		dv41p34q		fulltext							Ancient World Digital Library	global.5644.217	746172833a		746172833	monograph								free
Grab- und Denksteine des Mittleren Reichs im Museum von Kairo (t.2) 									http://hdl.handle.net/2333.1/931zd2nj		931zd2nj		fulltext							Ancient World Digital Library	global.5644.217	746172833b		746172833	monograph								free
Grab- und Denksteine des Mittleren Reichs im Museum von Kairo (t.3) 									http://hdl.handle.net/2333.1/59zw425k		59zw425k		fulltext							Ancient World Digital Library	global.5644.217	746172833c		746172833	monograph								free
Grab- und Denksteine des Mittleren Reichs im Museum von Kairo (t.4) 									http://hdl.handle.net/2333.1/1jwsv1n3		1jwsv1n3		fulltext							Ancient World Digital Library	global.5644.217	746172833d		746172833	monograph								free
Grabfunde des Mittleren Reichs in den Königlichen Museen zu Berlin (pt.1) 									http://hdl.handle.net/2333.1/p8cz96dx		p8cz96dx		fulltext							Ancient World Digital Library	global.5644.217	746172828a		746172828	monograph								free
Grabfunde des Mittleren Reichs in den Koniglichen Museen zu Berlin (pt.2) 									http://hdl.handle.net/2333.1/jh9w15xt		jh9w15xt		fulltext							Ancient World Digital Library	global.5644.217	746172828b		746172828	monograph								free
Graeco-Egyptian coffins, masks and portraits 									http://hdl.handle.net/2333.1/wstqk17p		wstqk17p		fulltext							Ancient World Digital Library	global.5644.217	746172834		746172834	monograph								free
Grec et Latin en 1989 et 1990 									http://hdl.handle.net/2333.1/9p8czg66	Ghislaine Viré	9p8czg66		fulltext							Ancient World Digital Library	global.5644.217	1022281856		1022281856	monograph								free
Greek documentary papyri from Egypt in the Berlin Aegyptisches Museum 									http://hdl.handle.net/2333.1/08kprwkb	Nahum Cohen	08kprwkb		fulltext							Ancient World Digital Library	global.5644.217	682390865		682390865	monograph								free
Greek horoscopes 									http://hdl.handle.net/2333.1/5x69pfpv	O. Neugebauer	5x69pfpv		fulltext							Ancient World Digital Library	global.5644.217	685250776 		685250776 	monograph								free
Greek inscriptions 									http://hdl.handle.net/2333.1/s1rn90p4		s1rn90p4		fulltext							Ancient World Digital Library	global.5644.217	746172836		746172836	monograph								free
