"note","date updated","status","publication_title","print_identifier","online_identifier","date_first_issue_online","num_first_vol_online","num_first_issue_online","date_last_issue_online","num_last_vol_online","num_last_issue_online","title_url","first_author","title_id","embargo_info","coverage_depth","notes","publisher_name","publication_type","date_monograph_published_print","date_monograph_published_online","monograph_volume","monograph_edition","first_editor","parent_publication_title_id","preceding_publication_title_id","access_type","location","title_notes","staff_notes","vendor_id","oclc_collection_name","oclc_collection_id","oclc_entry_id","oclc_linkscheme","oclc_number","ACTION","Aleph BSN","previous_url"
,,"oclc ws","Alexander the Great: coinage, finances, and policy",,,,,,,,,"http://hdl.handle.net/2333.1/pnvx0vt8","Georges Le Rider",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1165363379,,1165363379,,7566604,
,,"oclc ws","All those Nations : Cultural Encounters within and with the Near East",,,,,,,,,"http://hdl.handle.net/2333.1/79cnp78f","H.L.J. Vanstiphout",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",607347461,,607347461,,3709800,
,,"oclc ws","Amulets /",,,,,,,,,"http://hdl.handle.net/2333.1/0rxwdnsf",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",730929769,,730929769,,3458986,"http://dlib.nyu.edu/awdl/books/amulets35reis"
,,"oclc ws","An adventure of great dimension : the launching of the Chicago Assyrian dictionary",,,,,,,,,"http://hdl.handle.net/2333.1/15dv46w8","Erica Reiner",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",214460427,,214460427,,5987007,
"Needs handle link (From Sebastian)",,"new title","An oasis city",9781479889228,,,,,,,,"http://dlib.nyu.edu/awdl/isaw/oasis-city/",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",929452210,,929452210,,4833363,
"check oclc ws title updates has been approved, jk 1/5/2021",,"oclc ws","An Overview of the Numismatic Evidence from Imperial Roman Africa",,,,,,,,,"http://doi.org/2333.1/76hdrfz3","Daniel Hoyer",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1046078121,,1046078121,,6255211,
,,"modified oclc ws","Ancient Ammon",,,,,,,,,"http://hdl.handle.net/2333.1/jm63xvdj","Burton MacDonald ",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1224922620,,1224922620,,3710177,
,,"oclc ws","Ancient Building in Cyprus : Part 1: Text",,,,,,,,,"http://hdl.handle.net/2333.1/1g1jwvjt","G.R.H. Wright",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","643807504a",,643807504,,3709874,
,,"oclc ws","Ancient Building in Cyprus : Part 2: Illustrations",,,,,,,,,"http://hdl.handle.net/2333.1/wpzgmv6t","G.R.H. Wright",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","643807504b",,643807504,,3709874,
,,"oclc ws","Ancient Egyptian Literature : History and Forms",,,,,,,,,"http://hdl.handle.net/2333.1/gmsbcdvw","Antonio Loprieno",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",942022996,,942022996,,3709880,
,,"oclc ws","Ancient Synagogues: Historical Analysis and Archaeological Discovery, v.1",,,,,,,,,"http://hdl.handle.net/2333.1/hmgqnn48","Dan Urman",,,"ebook",,,"monograph",,,1,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","621803849a",,621803849,,3710208,
,,"oclc ws","Ancient Synagogues: Historical Analysis and Archaeological Discovery, v.2",,,,,,,,,"http://hdl.handle.net/2333.1/cvdncmmx","Dan Urman ",,,"ebook",,,"monograph",,,2,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","621803849b",,621803849,,3710208,
,,"oclc ws","Annotations in Greek and Latin texts from Egypt",,,,,,,,,"http://hdl.handle.net/2333.1/6m905vz5","Kathleen McNamee",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",984129165,,984129165,,4068924,
"updated M, AN - JAS 4/6/21",,"oclc ws","Antinoë et les sépultures de Thaïs et Sérapion /",,,,,,,,,"http://hdl.handle.net/2333.1/4j0zpp8m",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",730929770,,730929770,,3458988,"http://dlib.nyu.edu/awdl/books/antinoetless00gaye"
"updated M, AN - JAS 4/6/21",,"oclc ws","Archaic objects (t.1)",,,,,,,,,"http://hdl.handle.net/2333.1/866t1s38",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929771a",,730929771,,3458989,"http://dlib.nyu.edu/awdl/books/archaicobjects00quib"
"updated M, AN - JAS 4/6/21",,"oclc ws","Archaic objects (t.2)",,,,,,,,,"http://hdl.handle.net/2333.1/cz8w9sk4",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929771b",,730929771,,3458989,"http://dlib.nyu.edu/awdl/books/archaicobjects02quib"
,,"oclc ws","Areika",,,,,,,,,"http://hdl.handle.net/2333.1/vt4b8nrx","David Randall-MacIver",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",540975412,,540975412,,3458991,
"updated M, AN - JAS 4/6/21",,"oclc ws","Art in Egypt /",,,,,,,,,"http://hdl.handle.net/2333.1/hqbzkt4q",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",730929772,,730929772,,3458993,"http://dlib.nyu.edu/awdl/books/artinegypt00masp"
,,"oclc ws","Aspects of genre and type in pre-modern literary cultures",,,,,,,,,"http://hdl.handle.net/2333.1/2fqz62vg","Bert Roest, H.L.J. Vanstiphout",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",607347471,,607347471,,3709799,
,,"oclc ws","Aspects of Old Assyrian Trade and its Terminology",,,,,,,,,"http://hdl.handle.net/2333.1/t76hdt3r","K.R. Veenhof",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",793605242,,793605242,,3709759,
,,"oclc ws","Astral magic in Babylonia",,,,,,,,,"http://hdl.handle.net/2333.1/dfn2z8f5","Erica Reiner",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",681653665,,681653665,,5987002,
,,"oclc ws","Athletics and mathematics in archaic Corinth",,,,,,,,,"http://hdl.handle.net/2333.1/nzs7h9fh","David Gilman Romano",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1022269003,,1022269003,,5986999,
,,"oclc ws","Au temps où on lisait le grec en Égypte",,,,,,,,,"http://hdl.handle.net/2333.1/qz612qgg","Jean Bingen",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",680266671,,680266671,,5684231,
,,"oclc ws","Babylonian horoscopes",,,,,,,,,"http://hdl.handle.net/2333.1/xd254dr4","Francesca Rochberg",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",796384408,,796384408,,5986996,
,,"oclc ws","Babylonian Planetary Omens: Part Three",,,,,,,,,"http://hdl.handle.net/2333.1/3j9kd6r3","E. Reiner ",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",624470115,,624470115,,3709805,
"updated M, AN - JAS 4/6/21",,"oclc ws","Balabish /",,,,,,,,,"http://hdl.handle.net/2333.1/ngf1vtp6",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",827456882,,827456882,,3458994,"http://dlib.nyu.edu/awdl/books/balabish37wain"
,,"modified oclc ws","Beiträge zur Geschichte Ägyptens unter dem Islam (v.1)",,,,,,,,,"http://hdl.handle.net/2333.1/s7h44v5f",,,,"ebook",,,"monograph",,,1,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929773a",,730929773,,3458997,"http://dlib.nyu.edu/awdl/books/beitrgezurgesc01beck"
,,"modified oclc ws","Beiträge zur Geschichte Ägyptens unter dem Islam (v.2)",,,,,,,,,"http://hdl.handle.net/2333.1/x0k6dvnb",,,,"ebook",,,"monograph",,,2,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929773b",,730929773,,3458997,"http://dlib.nyu.edu/awdl/books/beitrgezurgesc02beck"
"Confirmed, OCLC # updated - 1/11/21 gm",,"modified oclc ws","Beni Hasan v.1",,,,,,,,,"http://hdl.handle.net/2333.1/573n637x","Percy E. Newberry",,,,,,"monograph",,,1,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","769625867a",,769625867,,3458999,
"Confirmed, OCLC # updated - 1/11/21 gm",,"modified oclc ws","Beni Hasan v.2",,,,,,,,,"http://hdl.handle.net/2333.1/1g1jx2qf","Percy E. Newberry",,,,,,"monograph",,,2,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","769625867b",,769625867,,3458999,
"Confirmed, OCLC # updated - 1/11/21 gm",,"modified oclc ws","Beni Hasan v.3",,,,,,,,,"http://hdl.handle.net/2333.1/p5hqc7m5","Percy E. Newberry",,,,,,"monograph",,,3,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","769625867c",,769625867,,3458999,
"Confirmed, OCLC # updated - 1/11/21 gm",,"modified oclc ws","Beni Hasan v.4",,,,,,,,,"http://hdl.handle.net/2333.1/sxksn84g","Percy E. Newberry",,,,,,"monograph",,,4,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","769625867d",,769625867,,3458999,
"Duplicate - remove",,"oclc ws","Beni Hasan. (5th)",,,,,,,,,"http://dlib.nyu.edu/awdl/books/benihasan05egyp",,,,"ebook",,,"monograph",,,5,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929774a",,730929774,,3458999,
"Duplicate - remove",,"oclc ws","Beni Hasan. (7th)",,,,,,,,,"http://dlib.nyu.edu/awdl/books/benihasan07egyp",,,,"ebook",,,"monograph",,,7,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929774b",,730929774,,3458999,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.10",,,,,,,,,"http://hdl.handle.net/2333.1/4mw6mc5g","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803i",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.11",,,,,,,,,"http://hdl.handle.net/2333.1/rbnzs9tw","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803j",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.12",,,,,,,,,"http://hdl.handle.net/2333.1/w3r22bbg","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803k",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.13",,,,,,,,,"http://hdl.handle.net/2333.1/jdfn33z7","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803l",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.2",,,,,,,,,"http://hdl.handle.net/2333.1/sbcc2j28","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803b",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.3",,,,,,,,,"http://hdl.handle.net/2333.1/8931zg02","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803c",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.4",,,,,,,,,"http://hdl.handle.net/2333.1/d2547ghb","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803d",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.5",,,,,,,,,"http://hdl.handle.net/2333.1/nk98shjs","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803e",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.6",,,,,,,,,"http://hdl.handle.net/2333.1/ht76hh1n","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803f",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.8",,,,,,,,,"http://hdl.handle.net/2333.1/c2fqz885","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803g",,842368803,,4571719,
"OCLC # and title updated 1-8-21 gm",,"oclc ws","Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.9",,,,,,,,,"http://hdl.handle.net/2333.1/0vt4bbn4","W. D. van Wijngaarden",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","842368803h",,842368803,,4571719,
,,"modified oclc ws","Birth in Babylonia and the Bible : Its Mediterranean setting",,,,,,,,,"http://hdl.handle.net/2333.1/zs7h46d5","M. Stol",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224935169,,3709819,
,,"oclc ws","Briefe aus dem Archive des Šamaś-Hāzir in Paris und Oxford (TCL 7 und OECT 3)",,,,,,,,,"http://hdl.handle.net/2333.1/0rxwddh2","F.R. Kraus",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","1103183575? ",,"1103183575? ",,3709726,
,,"modified oclc ws","Briefe aus dem British Museum (CT 52)",,,,,,,,,"http://hdl.handle.net/2333.1/r7sqvcnp","F.R. Kraus",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1182548395,,3709730,
,,"modified oclc ws","Briefe aus dem Istanbuler Museum",,,,,,,,,"http://hdl.handle.net/2333.1/w0vt4d55","F.R. Kraus",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1182548207,,3709728,
" updated M, AN - JAS 4/6/21",,"oclc ws","Bubastis (1887-1889) /",,,,,,,,,"http://hdl.handle.net/2333.1/5dv41zsn",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",730929778,,730929778,,3459007,"http://dlib.nyu.edu/awdl/books/bubastis08navi"
,,"oclc ws","Buhen v.7",,,,,,,,,"http://hdl.handle.net/2333.1/0k6djp2t","David Randall-MacIver",,,"ebook",,,"monograph",,,,,,7,,"free",,,,,"Ancient World Digital Library","global.5644.217","540967196a",,540967196,,3459008,
,,"oclc ws","Buhen v.8",,,,,,,,,"http://hdl.handle.net/2333.1/8w9gj615","David Randall-MacIver",,,"ebook",,,"monograph",,,,,,8,,"free",,,,,"Ancient World Digital Library","global.5644.217","540967196b",,540967196,,3459008,
,,"oclc ws","Caesarea Maritima : A Retrospective after Two Millennia",,,,,,,,,"http://hdl.handle.net/2333.1/n5tb2t5c","Avner Raban ",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",605932967,,605932967,,3709858,
,,"oclc ws","Candidates defeated in Roman elections",,,,,,,,,"http://hdl.handle.net/2333.1/n8pk0vpm","T. Robert S. Broughton",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",81145291,,81145291,,5987010,
,,"oclc ws","Carthage et les Grecs, c. 580-480 av. J.-C. : Textes et histoire",,,,,,,,,"http://hdl.handle.net/2333.1/jq2bvs24","Véronique Krings",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",607385092,,607385092,,3710170,
" updated M, AN - JAS 4/6/21",,"modified oclc ws","Catalogue des monuments et inscriptions de l'Égypte antique (t.2)",,,,,,,,,"http://hdl.handle.net/2333.1/95x6b08x",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929779a",,730929779,,3459013,"http://dlib.nyu.edu/awdl/books/cataloguedesmonu21egyp"
" updated M, AN - JAS 4/6/21",,"modified oclc ws","Catalogue des monuments et inscriptions de l'Égypte antique (t.3.1)",,,,,,,,,"http://hdl.handle.net/2333.1/jq2bw1bp",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929779c",,730929779,,3459013,"http://dlib.nyu.edu/awdl/books/cataloguedesmonu31egyp"
