publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Ptolemy and the foundations of ancient mathematical optics 									http://hdl.handle.net/2333.1/s1rn8w5q	A. Mark Smith			ebook							Ancient World Digital Library	global.5644.217	81282547		81282547	
Ptolemy's theory of visual perception 									http://hdl.handle.net/2333.1/6q573x46	Alexander Jones			ebook							Ancient World Digital Library	global.5644.217	81166765		81166765	
Public organization in ancient Greece : a documentary study 									http://hdl.handle.net/2333.1/vdnck30q	Nicholas F. Jones			ebook							Ancient World Digital Library	global.5644.217	988016058		988016058	
Recherches de papyrologie littéraire 									http://hdl.handle.net/2333.1/zcrjdn2p	Paul Mertens			ebook							Ancient World Digital Library	global.5644.217	692051330		692051330	
Register of Oxyrhynchites, 30 B.C.-A.D. 96 									http://hdl.handle.net/2333.1/n5tb2v4b	Brian W. Jones			ebook							Ancient World Digital Library	global.5644.217	681815466		681815466	
Regnal Formulas in Byzantine Egypt 									http://hdl.handle.net/2333.1/mkkwhcf4	Roger S. Bagnall 			ebook							Ancient World Digital Library	global.5644.217	669326384		669326384	
Répertoire généalogique et onomastique du Musée du Caire 									http://hdl.handle.net/2333.1/31zcrvc6				ebook							Ancient World Digital Library	global.5644.217	746177268		746177268	
Reports of proceedings in papyri 									http://hdl.handle.net/2333.1/70rxwk3z	R.A. Coles			ebook							Ancient World Digital Library	global.5644.217	669316213		669316213	
Representing power in ancient Inner Asia: legitimacy, transmission and the sacred 									http://hdl.handle.net/2333.1/9ghx3qxx	Isabelle Charleux			ebook							Ancient World Digital Library	global.5644.217	1176469305		1176469305	
Review of Ptolemaic Numismatics, 1996 to 2007 / 									http://doi.org/2333.1/9s4mw84w				ebook							Ancient World Digital Library	global.5644.217	811756919		811756919	
Rome and the economic integration of empire / 									http://doi.org/2333.1/280gb73f				ebook							Ancient World Digital Library	global.5644.217	817965432		817965432	
Royal administration and national religion in ancient Palestine 			1982			1982			http://hdl.handle.net/2333.1/p5hqc1fq	G.W. Ahlström			ebook		Brill					Ancient World Digital Library	global.5644.217	c5644.848		564383198	
Saite and Persian demotic cattle documents : a study in legal forms and principles in ancient Egypt (P.CattleDocs.) 									http://hdl.handle.net/2333.1/hdr7stn3	Eugene Cruz-Uribe			ebook							Ancient World Digital Library	global.5644.217	988217271		988217271	
Sarcophages antérieurs au Nouvel Empire 									http://hdl.handle.net/2333.1/tht76tj5				ebook							Ancient World Digital Library	global.5644.217	746177269		746177269	
Sarcophages de l'époque bubastite à l'époque saïte t.1 									http://hdl.handle.net/2333.1/pvmcvqrr				ebook							Ancient World Digital Library	global.5644.217	746177270a		746177270	
Sarcophages de l'époque bubastite à l'époque saïte t.2 									http://hdl.handle.net/2333.1/k3j9kq8w				ebook							Ancient World Digital Library	global.5644.217	746177270b		746177270	
Saros cycle dates and related Babylonian astronomical texts 									http://hdl.handle.net/2333.1/bg79cxnb	Asger Aaboe			ebook							Ancient World Digital Library	global.5644.217	81150006		81150006	
Scarab-shaped seals / 									http://hdl.handle.net/2333.1/9kd51p7d				ebook							Ancient World Digital Library	global.5644.217	746177272		746177272	
Scarabs  									http://hdl.handle.net/2333.1/5tb2rnpp				ebook							Ancient World Digital Library	global.5644.217	689358134		689358134	
Selected Papers. 2. : (Hommages et Opera minora, 6) 									http://hdl.handle.net/2333.1/crjdfpx3	W.B. Henning			ebook							Ancient World Digital Library	global.5644.217	1164077052		1164077052	
Seleucid Archival Texts in the Harvard Semitic Museum 									http://hdl.handle.net/2333.1/7d7wm51r	R. Wallenfels			ebook							Ancient World Digital Library	global.5644.217	988915375		988915375	
Shenoute's Name 									http://hdl.handle.net/2333.1/05qfv49m	Roger S. Bagnall			ebook							Ancient World Digital Library	global.5644.217	1178767842		1178767842	
Sigla and select marginalia in Greek literary papyri 									http://hdl.handle.net/2333.1/f7m0crgm	Kathleen McNamee			ebook							Ancient World Digital Library	global.5644.217	669344520		669344520	
Siut - Theben : Zur Wertschätzung von Traditionen im alten Ägypten 									http://hdl.handle.net/2333.1/2rbnzv07	Jochem Kahl			ebook							Ancient World Digital Library	global.5644.217	945915358		945915358	
Statuen und Statuetten von Königen und Privatleuten im Museum von Kairo, Nr. 1-1294 53 									http://hdl.handle.net/2333.1/2280gn6t				ebook							Ancient World Digital Library	global.5644.217	746177276		746177276	
Status declarations in Roman Egypt 									http://hdl.handle.net/2333.1/rv15dxzp	C. A. Nelson			ebook							Ancient World Digital Library	global.5644.217	654509633		654509633	
Steingefässe / (v.1) 									http://hdl.handle.net/2333.1/x95x6mwt				ebook							Ancient World Digital Library	global.5644.217	746177277a		746177277	
Steingefässe / (v.2) 									http://hdl.handle.net/2333.1/sn02vj17				ebook							Ancient World Digital Library	global.5644.217	746177277b		746177277	
Studies in Exegesis : Christian Critiques of Jewish Law and Rabbinic Responses 70-300 CE 									http://hdl.handle.net/2333.1/4mw6mbrc	Herbert W. Basser			ebook							Ancient World Digital Library	global.5644.217	60245831		60245831	
Studies on the Hasmonean Period 									http://hdl.handle.net/2333.1/vq83bn06	J. Efron			ebook							Ancient World Digital Library	global.5644.217	572914924		572914924	
Studies on the Neoplatonist Hierocles 									http://hdl.handle.net/2333.1/sn02vd83	Ilsetraut Hadot			ebook							Ancient World Digital Library	global.5644.217	317882442		317882442	
Tables d'offrandes / 									http://hdl.handle.net/2333.1/dbrv1gjr				ebook							Ancient World Digital Library	global.5644.217	769626035		769626035	
Tables of Synodic Events from -800 to 1650 Using Modern and Almagest Models 									http://hdl.handle.net/2333.1/2fqz68dk	Christián C.Carman			ebook							Ancient World Digital Library	global.5644.217	1091358189		1091358189	
Tanis 									http://hdl.handle.net/2333.1/8kprrfzs				ebook							Ancient World Digital Library	global.5644.217	697758386		697758386	
Tarkhan I and Memphis V / 									http://hdl.handle.net/2333.1/4tmpgfgw				ebook							Ancient World Digital Library	global.5644.217	746177287		746177287	
Textcorpus und Wörterbuch : Aspekte zur ägyptischen Lexikographie 									http://hdl.handle.net/2333.1/3ffbg94z	Herausgegeben von Stefan Grunert und Ingelore Hafemann			ebook							Ancient World Digital Library	global.5644.217	606389399		606389399	
The Age of Solomon : Scholarship at the Turn of the Millennium 									http://hdl.handle.net/2333.1/xsj3v06b	Lowell K. Handy										Ancient World Digital Library	global.5644.217			1224941020	
The Amarna Scholarly Tablets 									http://hdl.handle.net/2333.1/66t1g3cx	S. Izre'el										Ancient World Digital Library	global.5644.217			1224930388	
The Balaam Text from Deir 'Alla Re-Evaluated : Proceedings of the Symposium held at Leiden, 21-24 August 1989 									http://hdl.handle.net/2333.1/hqbzkjv4	J. Hoftijzer										Ancient World Digital Library	global.5644.217			1224909030	
